Restaurant ID,Restaurant Name,Location,Cuisine,Average Cost (per person),Rating,Votes,Sales (₹),Online Order
R100000,Restaurant_0,Pune,Chinese,843,3.1,1058,124696,Yes
R100001,Restaurant_1,Hyderabad,Continental,354,4.5,4743,1688861,Yes
R100002,Restaurant_2,Ahmedabad,Chinese,1027,3.9,4346,1516505,No
R100003,Restaurant_3,Chennai,Japanese,394,3.2,392,460361,No
R100004,Restaurant_4,Pune,Mughlai,1092,3.7,3333,1207269,No
R100005,Restaurant_5,Lucknow,North Indian,970,3.0,680,468654,Yes
R100006,Restaurant_6,Bangalore,Thai,656,3.0,347,1390172,No
R100007,Restaurant_7,Pune,Thai,1073,4.6,747,1038736,Yes
R100008,Restaurant_8,Ahmedabad,Continental,1294,4.9,1555,1679837,No
R100009,Restaurant_9,Chennai,Thai,1432,2.7,2810,527483,Yes
R100010,Restaurant_10,Hyderabad,Japanese,559,4.4,2875,461046,Yes
R100011,Restaurant_11,Ahmedabad,Fast Food,459,3.6,428,1329394,Yes
R100012,Restaurant_12,Ahmedabad,Continental,217,3.5,2845,904774,Yes
R100013,Restaurant_13,Bangalore,Chinese,263,4.2,755,1146564,Yes
R100014,Restaurant_14,Kolkata,Mexican,369,3.2,2464,1417322,No
R100015,Restaurant_15,Chennai,Italian,369,2.6,820,512077,Yes
R100016,Restaurant_16,Mumbai,Japanese,879,3.0,4051,613703,Yes
R100017,Restaurant_17,Ahmedabad,Chinese,898,3.0,1144,1184252,Yes
R100018,Restaurant_18,Kolkata,Fast Food,1092,2.6,3514,1083528,Yes
R100019,Restaurant_19,Mumbai,Mexican,535,3.3,3644,71781,Yes
R100020,Restaurant_20,Chennai,Thai,1471,3.7,4494,58993,No
R100021,Restaurant_21,Delhi,Fast Food,1079,4.3,1281,1794776,Yes
R100022,Restaurant_22,Lucknow,Continental,1426,3.3,1496,917121,No
R100023,Restaurant_23,Kolkata,South Indian,554,3.0,4238,1895557,Yes
R100024,Restaurant_24,Jaipur,South Indian,641,3.1,2452,1273865,No
R100025,Restaurant_25,Delhi,Thai,506,4.7,1876,307891,Yes
R100026,Restaurant_26,Lucknow,South Indian,364,3.0,3897,799551,No
R100027,Restaurant_27,Bangalore,South Indian,901,4.7,1142,1241135,Yes
R100028,Restaurant_28,Pune,Chinese,976,3.6,4727,1488269,Yes
R100029,Restaurant_29,Hyderabad,Chinese,1387,4.8,1770,1597685,Yes
R100030,Restaurant_30,Jaipur,Italian,1271,3.5,932,1566115,Yes
R100031,Restaurant_31,Bangalore,Mughlai,677,2.9,173,215887,No
R100032,Restaurant_32,Chennai,Thai,1065,3.9,3540,156522,Yes
R100033,Restaurant_33,Bangalore,South Indian,815,4.0,3644,1789132,Yes
R100034,Restaurant_34,Pune,Italian,859,4.1,652,1529999,Yes
R100035,Restaurant_35,Chennai,Thai,684,3.5,3881,1033170,No
R100036,Restaurant_36,Jaipur,South Indian,703,2.6,354,1752526,Yes
R100037,Restaurant_37,Pune,Japanese,477,4.1,3278,855883,Yes
R100038,Restaurant_38,Mumbai,North Indian,1051,4.8,3209,309594,Yes
R100039,Restaurant_39,Hyderabad,Japanese,1338,4.9,1301,921703,No
R100040,Restaurant_40,Jaipur,Mexican,1289,4.0,986,838764,Yes
R100041,Restaurant_41,Mumbai,Thai,299,2.5,3767,170004,Yes
R100042,Restaurant_42,Lucknow,Mughlai,1205,2.8,2363,968240,No
R100043,Restaurant_43,Jaipur,Mexican,806,4.6,2181,348759,Yes
R100044,Restaurant_44,Lucknow,Italian,955,4.6,3333,100450,Yes
R100045,Restaurant_45,Chennai,Italian,442,4.9,3339,133011,No
R100046,Restaurant_46,Mumbai,South Indian,1068,3.9,4894,1360952,Yes
R100047,Restaurant_47,Hyderabad,Mexican,838,4.7,2248,1981874,Yes
R100048,Restaurant_48,Pune,South Indian,1106,4.6,735,885805,Yes
R100049,Restaurant_49,Ahmedabad,Thai,1350,4.0,4285,1006027,Yes
R100050,Restaurant_50,Bangalore,Italian,1234,4.5,104,1545343,Yes
R100051,Restaurant_51,Delhi,North Indian,565,2.8,3262,771831,Yes
